,Frequencia,Amplitude(V),Amplitude(V)2
0,-499.5,4.463748284129865e-16,6.936895214610188e-17
1,-498.5,5.008352636141675e-07,3.5491634414713045e-07
2,-497.5,1.0016984432448076e-06,6.347689400741651e-07
3,-496.5,1.5026174584513346e-06,1.067400282492987e-06
4,-495.5,2.003620237839748e-06,1.2744603878224656e-06
5,-494.5,2.5047347205949027e-06,1.7878625663490218e-06
6,-493.5,3.0059888634102965e-06,1.9240412698010588e-06
7,-492.5,3.5074106408836063e-06,2.5217045355557057e-06
8,-491.5,4.0090280523537936e-06,2.5885681544785664e-06
9,-490.5,4.5108691292175016e-06,3.27445280666331e-06
10,-489.5,5.012961927387959e-06,3.2732340872101823e-06
11,-488.5,5.515334544301921e-06,4.051812657183077e-06
12,-487.5,6.018015116832238e-06,3.983417938061774e-06
13,-486.5,6.521031824044375e-06,4.859724817807877e-06
14,-485.5,7.024412895374441e-06,4.724737188591753e-06
15,-484.5,7.528186610834637e-06,5.704426831284462e-06
16,-483.5,8.032381308175082e-06,5.5031052476268255e-06
17,-482.5,8.537025384783212e-06,6.5925202907151115e-06
18,-481.5,9.042147302715338e-06,6.324794496391286e-06
19,-480.5,9.547775594181277e-06,7.5310454908143765e-06
20,-479.5,1.0053938862202473e-05,7.196506493120002e-06
21,-478.5,1.0560665788665614e-05,8.52756527633094e-06
22,-477.5,1.1067985135966303e-05,8.125450996389222e-06
23,-476.5,1.1575925751568911e-05,9.590260230456724e-06
24,-475.5,1.208451657547001e-05,9.11943579951227e-06
25,-474.5,1.2593786636452094e-05,1.0728037776096593e-05
26,-473.5,1.310376506905611e-05,1.0186969799003424e-05
27,-472.5,1.3614481103491676e-05,1.195065835043088e-05
28,-471.5,1.4125964081638204e-05,1.1337382223597406e-05
29,-470.5,1.463824345464378e-05,1.3268882530980477e-05
30,-469.5,1.5151348791075111e-05,1.258096166920549e-05
31,-468.5,1.5665309778682032e-05,1.4694643942693922e-05
32,-467.5,1.618015623106495e-05,1.3929119439189069e-05
33,-466.5,1.6695918089432686e-05,1.6241254022151413e-05
34,-465.5,1.7212625432136247e-05,1.5394582852633862e-05
35,-464.5,1.7730308472392616e-05,1.792364631125592e-05
36,-463.5,1.8248997569803515e-05,1.6991625675618666e-05
37,-462.5,1.876872323036903e-05,1.9758670106480175e-05
38,-461.5,1.928951611183343e-05,1.873634481226979e-05
39,-460.5,1.9811407032018012e-05,2.1765446119790553e-05
40,-459.5,2.0334426968543358e-05,2.0646995008384187e-05
41,-458.5,2.0858607066167896e-05,2.3965800632134265e-05
42,-457.5,2.1383978644204278e-05,2.274439686121435e-05
43,-456.5,2.191057319540056e-05,2.6384799831560707e-05
44,-455.5,2.2438422397719233e-05,2.505243819619313e-05
45,-454.5,2.296755811337281e-05,2.9051413157501335e-05
46,-453.5,2.349801239873677e-05,2.759869545583706e-05
47,-452.5,2.4029817506762124e-05,3.199934444993093e-05
48,-451.5,2.4563005892174937e-05,3.041521086277133e-05
49,-450.5,2.5097610219983478e-05,3.526808375259873e-05
50,-449.5,2.5633663365740777e-05,3.353947398451408e-05
