,Frequencia,Amplitude(V),Amplitude2(V)
0,-499.5,7.005648041247983e-17,2.662316259859303e-16
1,-498.5,1.675065371373311e-06,1.5504768122819744e-05
2,-497.5,3.350267212810135e-06,3.101977378193232e-05
3,-496.5,5.0257420285020055e-06,4.655527747849102e-05
4,-495.5,6.701626382859433e-06,6.212158574414013e-05
5,-494.5,8.378056936960763e-06,7.772907444623717e-05
6,-493.5,1.005517047900561e-05,9.338821241639798e-05
7,-492.5,1.1733103956995237e-05,0.00010910958554442352
8,-491.5,1.341199450905788e-05,0.00012490392144132878
9,-490.5,1.5091979497269502e-05,0.00014078211480821352
10,-489.5,1.6773196538816045e-05,0.00015675525363762372
11,-488.5,1.845578353511252e-05,0.00017283464638828873
12,-487.5,2.0139878712510217e-05,0.0001890318502845345
13,-486.5,2.1825620646119688e-05,0.00020535870089071474
14,-485.5,2.3513148299700424e-05,0.00022182734314326496
15,-484.5,2.5202601051907132e-05,0.00023845026400813734
16,-483.5,2.6894118735804694e-05,0.00025524032697879663
17,-482.5,2.8587841665961552e-05,0.0002722108086189988
18,-481.5,3.0283910677546493e-05,0.0002893754373971216
19,-480.5,3.198246715800164e-05,0.0003067484350596182
20,-479.5,3.368365307977939e-05,0.00032434456084811086
21,-478.5,3.5387611038290365e-05,0.00034217915885254084
22,-477.5,3.7094484280724295e-05,0.0003602682088710212
23,-476.5,3.8804416748740325e-05,0.00037862838115273697
24,-475.5,4.051755310608723e-05,0.0003972770954530389
25,-474.5,4.223403878006538e-05,0.00041623258489596114
26,-473.5,4.3954019995727404e-05,0.00043551396516298957
27,-472.5,4.567764381229435e-05,0.0004551413096350825
28,-471.5,4.740505815928012e-05,0.0004751357311382957
29,-470.5,4.913641187511653e-05,0.0004955194710869983
30,-469.5,5.087185474522629e-05,0.0005163159968592264
31,-468.5,5.261153753656901e-05,0.0005375501084010213
32,-467.5,5.435561204141518e-05,0.0005592480551534106
33,-466.5,5.610423111644676e-05,0.0005814376645638299
34,-465.5,5.785754871688991e-05,0.0006041484836182176
35,-464.5,5.961571994292346e-05,0.000627411935023243
36,-463.5,6.137890107707948e-05,0.0006512614899235871
37,-462.5,6.314724962853376e-05,0.0006757328592964016
38,-461.5,6.492092437152631e-05,0.0007008642065122353
39,-460.5,6.670008539429714e-05,0.000726696383911108
40,-459.5,6.848489413471325e-05,0.000753273196717279
41,-458.5,7.02755134325764e-05,0.0007806416981277362
42,-457.5,7.207210756650782e-05,0.0008088525200607551
43,-456.5,7.387484230547362e-05,0.0008379602447857907
44,-455.5,7.568388495562386e-05,0.0008680238235701631
45,-454.5,7.749940440249501e-05,0.0008991070495572859
46,-453.5,7.932157116374576e-05,0.0009312790933678589
47,-452.5,8.115055743568812e-05,0.0009646151115218515
48,-451.5,8.298653714464308e-05,0.0009991969396448588
49,-450.5,8.482968599771211e-05,0.0010351138847852078
50,-449.5,8.668018153234901e-05,0.0010724636339686225
51,-448.5,8.853820317395319e-05,0.0011113532996672327
52,-447.5,9.040393228206088e-05,0.0011519006271472467
53,-446.5,9.227755221530862e-05,0.0011942353940817816
54,-445.5,9.415924837727296e-05,0.0012385010395209125
55,-444.5,9.604920828069436e-05,0.001284856567812717
56,-443.5,9.794762160229632e-05,0.0013334787837670683
57,-442.5,9.985468024439704e-05,0.001384564929049384
58,-441.5,0.0001017705783923502,0.0014383358072856574
59,-440.5,0.00010369551258303392,0.0014950395080456948
60,-439.5,0.00010562968176003815,0.001554955869342626
61,-438.5,0.00010757328734592228,0.0016184018570393637
62,-437.5,0.00010952653330195286,0.0016857380908272203
63,-436.5,0.00011148962620061305,0.0017573768150368689
64,-435.5,0.00011346277529450197,0.001833791705130686
65,-434.5,0.00011544619258468494,0.001915530026996807
66,-433.5,0.0001174400928919085,0.0020032278406368984
67,-432.5,0.00011944469393934786,0.0020976291832996014
68,-431.5,0.00012146021641586352,0.002199610512063834
69,-430.5,0.00012348688406591535,0.0023102121809895175
70,-429.5,0.00012552492375627258,0.0024306794501922297
71,-428.5,0.00012757456557372157,0.002562516595320002
72,-427.5,0.0001296360428921667,0.0027075593042475738
73,-426.5,0.0001317095924676361,0.002868073042860692
74,-425.5,0.00013379545452493372,0.0030468890055988735
75,-424.5,0.00013589387284492063,0.003247595624668059
76,-423.5,0.00013800509485844647,0.0034748141776761
77,-422.5,0.0001401293717393787,0.003734605148160151
78,-421.5,0.00014226695850293422,0.004035084168826454
79,-420.5,0.00014441811410556348,0.004387385888935081
80,-419.5,0.00014658310154207817,0.004807229457785022
81,-418.5,0.00014876218795730495,0.0053175755079097895
82,-417.5,0.0001509556447503216,0.005953380765616725
83,-416.5,0.00015316374768003735,0.006770677690928437
84,-415.5,0.00015538677698688798,0.007865394158309214
85,-414.5,0.0001576250175032669,0.009416766429496546
86,-413.5,0.00015987875877242588,0.01180330068170084
87,-412.5,0.00016214829518253885,0.015987384373140397
88,-411.5,0.00016443392606396034,0.0253515723873777
89,-410.5,0.00016673595585966632,0.06622173884301318
90,-409.5,0.0001690546942233142,0.0916477915549384
91,-408.5,0.00017139045617586783,0.025510066539416308
92,-407.5,0.00017374356223683542,0.014150749477971182
93,-406.5,0.00017611433857346763,0.009371152556581046
94,-405.5,0.0001785031171491008,0.006683701256910946
95,-404.5,0.00018091023587652036,0.00491587447870294
96,-403.5,0.00018333603877411836,0.0036236941461745952
97,-402.5,0.0001857808761276215,0.002599097230793531
98,-401.5,0.00018824510466114872,0.0017282663311552098
99,-400.5,0.00019072908770956798,0.0009395709990903421
100,-399.5,0.0001932331953864325,0.0001803934067515932
101,-398.5,0.000195757804777157,0.0005957118785343918
102,-397.5,0.00019830330012338848,0.0014389190643306201
103,-396.5,0.00020087007301549151,0.0024148310505757954
104,-395.5,0.0002034585225925561,0.0036243374627087824
105,-394.5,0.00020606905574981126,0.005246427373284118
106,-393.5,0.00020870208734970644,0.00765004796317028
107,-392.5,0.0002113580404440949,0.011761395734638925
108,-391.5,0.00021403734648521702,0.020798566107463376
109,-390.5,0.00021674044558622082,0.05907628423830401
110,-389.5,0.00021946778673670672,0.09820056198619313
111,-388.5,0.00022221982806018965,0.029111449605179907
112,-387.5,0.00022499703706823417,0.017761469662252664
113,-386.5,0.00022779989092859974,0.013065849725875616
114,-385.5,0.00023062887673294463,0.010481420502776222
115,-384.5,0.00023348449178146844,0.008835833559173433
116,-383.5,0.00023636724387507218,0.007690225537343867
117,-382.5,0.00023927765161034558,0.006843028459092677
118,-381.5,0.0002422162446931051,0.006188597352278463
119,-380.5,0.00024518356427325,0.005666161226793059
120,-379.5,0.0002481801632482136,0.005238248001315185
121,-378.5,0.00025120660663076637,0.004880471017102469
122,-377.5,0.000254263471894314,0.004576259019468775
123,-376.5,0.0002573513493458201,0.0043139458055682384
124,-375.5,0.00026047084249680746,0.004085072041259831
125,-374.5,0.00026362256846513724,0.003883348155046732
126,-373.5,0.0002668071583773033,0.0037039961509646455
127,-372.5,0.0002700252577934428,0.003543317946704675
128,-371.5,0.0002732775271412354,0.0033984041105888365
129,-370.5,0.0002765646421724961,0.0032669323860172066
130,-369.5,0.0002798872944260348,0.0031470252352009485
131,-368.5,0.0002832461917169205,0.0030371471310174053
132,-367.5,0.000286642058637678,0.00293602920361373
133,-366.5,0.0002900756370836736,0.0028426130813110034
134,-365.5,0.0002935476867905498,0.002756008437474901
135,-364.5,0.0002970589858970271,0.002675460480851456
136,-363.5,0.00030061033152799823,0.0026003247647404574
137,-362.5,0.00030420254039758654,0.0025300474548692066
138,-361.5,0.0003078364494324547,0.002464149718355147
139,-360.5,0.00031151291643745615,0.0024022152589441986
140,-359.5,0.00031523282075080427,0.0023438802792806793
141,-358.5,0.0003189970639641117,0.002288825333466116
142,-357.5,0.0003228065706442234,0.002236768665030001
143,-356.5,0.0003266622890923397,0.0021874607219726653
144,-355.5,0.0003305651921383055,0.002140679611764665
145,-354.5,0.00033451627795004165,0.0020962273124892562
146,-353.5,0.0003385165708957293,0.0020539264964048944
147,-352.5,0.00034256712242873116,0.002013617852735435
148,-351.5,0.0003466690120085102,0.0019751578198866715
149,-350.5,0.0003508233480670742,0.0019384166553537497
150,-349.5,0.0003550312690042826,0.0019032767856819763
151,-348.5,0.0003592939442327897,0.001869631389846442
152,-347.5,0.0003636125752671564,0.0018373831781452945
153,-346.5,0.00036798839685142637,0.0018064433356016199
154,-345.5,0.00037242267814336093,0.0017767306043878232
155,-344.5,0.0003769167239416038,0.001748170484245528
156,-343.5,0.0003814718759715004,0.0017206945334108793
157,-342.5,0.00038608951422416753,0.0016942397555229955
158,-341.5,0.00039077105835499303,0.0016687480603041808
159,-340.5,0.0003955179691428618,0.0016441657877986759
160,-339.5,0.0004003317500155587,0.0016204432875204515
161,-338.5,0.0004052139486421237,0.0015975345452009348
162,-337.5,0.00041016615859751295,0.001575396850918094
163,-336.5,0.0004151900211024003,0.001553990503317436
164,-335.5,0.0004202872268486797,0.001533278545384143
165,-334.5,0.00042545951789599567,0.0015132265278762242
166,-333.5,0.00043070868966996385,0.001493802297078015
167,-332.5,0.00043603659304940824,0.001474975803975119
168,-331.5,0.00044144513654796434,0.0014567189323585908
169,-330.5,0.00044693628860873407,0.0014390053436730296
170,-329.5,0.00045251208000125987,0.0014218103367401923
171,-328.5,0.0004581746063375207,0.0014051107206843139
172,-327.5,0.00046392603071454747,0.0013888846996455827
173,-326.5,0.00046976858648105097,0.0013731117679881652
174,-325.5,0.00047570458015004847,0.0013577726149192869
175,-324.5,0.0004817363944466057,0.0013428490375346363
176,-323.5,0.00048786649152161176,0.001328323861408391
177,-322.5,0.0004940974163199246,0.001314180868004586
178,-321.5,0.0005004318001293896,0.00130040472819438
179,-320.5,0.0005068723643095648,0.00128698094131086
180,-319.5,0.0005134219242200363,0.0012738957791890123
181,-318.5,0.0005200833933536786,0.001261136234728667
182,-317.5,0.0005268597876922755,0.001248689974551727
183,-316.5,0.0005337542302969366,0.0012365452953745054
184,-315.5,0.0005407699561458997,0.0012246910837624102
185,-314.5,0.0005479103172439518,0.0012131167789536503
186,-313.5,0.0005551787880096496,0.0012018123384915668
187,-312.5,0.0005625789709691357,0.0011907682064087172
188,-311.5,0.0005701146027657007,0.0011799752837530614
189,-310.5,0.0005777895605218428,0.0011694249012409697
190,-309.5,0.0005856078685585822,0.0011591087938826708
191,-308.5,0.0005935737055133149,0.0011490190773840458
192,-307.5,0.0006016914118749635,0.0011391482262161066
193,-306.5,0.0006099654979660649,0.0011294890531758463
194,-305.5,0.0006184006524067853,0.0011200346903578132
195,-304.5,0.0006270017510895017,0.0011107785713991474
196,-303.5,0.0006357738667096688,0.001101714414905675
197,-302.5,0.000644722278881695,0.0010928362089741247
198,-301.5,0.0006538524848952361,0.0010841381967139096
199,-300.5,0.0006631702111477699,0.0010756148627086438
200,-299.5,0.0006726814253163732,0.0010672609203275613
201,-298.5,0.0006823923493142364,0.0010590712998461717
202,-297.5,0.00069230947309796,0.0010510411373009624
203,-296.5,0.0007024395693934326,0.0010431657640264558
204,-295.5,0.0007127897094006857,0.001035440696839925
205,-294.5,0.0007233672795782236,0.0010278616288037744
206,-293.5,0.0007341799995701111,0.0010204244205485697
207,-292.5,0.0007452359413861428,0.0010131250921049325
208,-291.5,0.0007565435499291152,0.0010059598152134237
209,-290.5,0.0007681116649841341,0.0009989249060759515
210,-289.5,0.0007799495447982298,0.0009920168185280152
211,-288.5,0.0007920668913791315,0.0009852321375909518
212,-287.5,0.0008044738776717147,0.0009785675733904164
213,-286.5,0.0008171811767661524,0.0009720199554118328
214,-285.5,0.000830199993332506,0.0009655862270709703
215,-284.5,0.0008435420974721165,0.0009592634405843618
216,-283.5,0.0008572198612110612,0.000953048752109073
217,-282.5,0.0008712462978858859,0.0009469394171528379
218,-281.5,0.0008856351046873869,0.0009409327862168337
219,-280.5,0.0009004007086658096,0.0009350263006759475
220,-279.5,0.0009155583165404813,0.000929217488867867
221,-278.5,0.0009311239686767923,0.0009235039623854528
222,-277.5,0.0009471145976594233,0.0009178834125636292
223,-276.5,0.0009635480919189542,0.00091235360713267
224,-275.5,0.0009804433649328675,0.0009069123870542344
225,-274.5,0.0009978204305936633,0.0009015576635008749
226,-273.5,0.0010157004853863787,0.0008962874149940637
227,-272.5,0.0010341059981259489,0.0008910996846805438
228,-271.5,0.001053060808068638,0.0008859925777380607
229,-270.5,0.0010725902323471647,0.0008809642589072728
230,-269.5,0.0010927211837798553,0.0008760129501439075
231,-268.5,0.0011134823002528435,0.0008711369283766559
232,-267.5,0.0011349040870425658,0.0008663345233787892
233,-266.5,0.0011570190736162524,0.0008616041157257274
234,-265.5,0.0011798619866900716,0.0008569441348644297
235,-264.5,0.001203469941550027,0.0008523530572540867
236,-263.5,0.0012278826539506003,0.0008478294046034394
237,-262.5,0.0012531426752498652,0.0008433717421802215
238,-261.5,0.001279295653831802,0.0008389786772029783
239,-260.5,0.001306390626337277,0.0008346488572936898
240,-259.5,0.0013344803428091785,0.000830380969014987
241,-258.5,0.0013636216304557165,0.0008261737364537925
242,-257.5,0.00139387580158242,0.0008220259198788035
243,-256.5,0.0014253091121145787,0.0008179363144498699
244,-255.5,0.0014579932782689616,0.0008139037489825741
245,-254.5,0.001492006060249902,0.0008099270847710556
246,-253.5,0.0015274319234255276,0.0008060052144506667
247,-252.5,0.001564362789394473,0.0008021370609193594
248,-251.5,0.0016028988916520922,0.0007983215762943627
249,-250.5,0.0016431497534459432,0.0007945577409159594
250,-249.5,0.0016852353088551712,0.000790844562394403
251,-248.5,0.0017292871924392173,0.0007871810746863856
252,-247.5,0.001775450228072744,0.0007835663372268144
253,-246.5,0.0018238841541601083,0.0007799994340702158
254,-245.5,0.001874765630630487,0.0007764794730928303
255,-244.5,0.0019282905834476485,0.0007730055852011699
256,-243.5,0.0019846769553681135,0.0007695769235947488
257,-242.5,0.0020441679483416213,0.0007661926630375857
258,-241.5,0.0021070358641426933,0.000762851999174464
259,-240.5,0.0021735866773042096,0.0007595541478584787
260,-239.5,0.0022441655100990275,0.000756298344519107
261,-238.5,0.002319163226045734,0.0007530838435420834
262,-237.5,0.00239902442029434,0.0007499099176734222
263,-236.5,0.0024842571677481423,0.0007467758574666394
264,-235.5,0.002575445000944163,0.0007436809707080285
265,-234.5,0.0026732617411361747,0.0007406245819108826
266,-233.5,0.002778490014471031,0.0007376060317968121
267,-232.5,0.002892044575690749,0.0007346246768017203
268,-231.5,0.0030150019720115336,0.000731679888612964
269,-230.5,0.0031486386671290656,0.0007287710537028406
270,-229.5,0.003294480599229858,0.0007258975728992008
271,-228.5,0.003454368408964112,0.0007230588609499303
272,-227.5,0.0036305444729422716,0.0007202543461281214
273,-226.5,0.0038257707948350216,0.0007174834698255234
274,-225.5,0.004043491383114893,0.0007147456861781043
275,-224.5,0.004288060104203317,0.0007120404616943625
276,-223.5,0.004565067159154901,0.0007093672749044611
277,-222.5,0.004881818042943918,0.0007067256160155232
278,-221.5,0.005248055359174591,0.0007041149865781887
279,-220.5,0.00567708082351168,0.0007015348991721594
280,-219.5,0.006187563292738776,0.000698984877091776
281,-218.5,0.00680657871398612,0.0006964644540462681
282,-217.5,0.007574988371007796,0.0006939731738696379
283,-216.5,0.008557565161984968,0.0006915105902597034
284,-215.5,0.009863606928970344,0.0006890762664734955
285,-214.5,0.011693360709869923,0.00068666977509441
286,-213.5,0.01445792848291547,0.0006842906977676292
287,-212.5,0.019157023191398,0.0006819386249537699
288,-211.5,0.029023031039214373,0.0006796131556967824
289,-210.5,0.06365475319310722,0.00067731389738784
290,-209.5,0.23026524100183823,0.0006750404655478332
291,-208.5,0.03826114522610901,0.0006727924836092241
292,-207.5,0.019878071419320235,0.0006705695827081892
293,-206.5,0.012848994321111029,0.0006683714014864946
294,-205.5,0.009069239768725559,0.0006661975858753663
295,-204.5,0.006653149957469283,0.0006640477889361942
296,-203.5,0.004926042250943565,0.0006619216706508682
297,-202.5,0.003583242126195418,0.0006598188977560679
298,-201.5,0.002463155912902318,0.0006577391435594964
299,-200.5,0.0014673872471774013,0.0006556820877797448
300,-199.5,0.000526578409088814,0.0006536474163808697
301,-198.5,0.0004174572574631898,0.0006516348214067887
302,-197.5,0.0014242902063864482,0.0006496440008345183
303,-196.5,0.0025682263112939943,0.0006476746584248422
304,-195.5,0.003959342216113693,0.0006457265035683008
305,-194.5,0.005786780753655728,0.0006437992511511978
306,-193.5,0.008427376291585539,0.0006418926214132888
307,-192.5,0.012783939250292732,0.0006400063398193071
308,-191.5,0.02174284847906287,0.0006381401369226985
309,-190.5,0.052428041774267554,0.0006362937482419112
310,-189.5,0.23811746880749357,0.0006344669141367834
311,-188.5,0.04023065193760107,0.0006326593796911673
312,-187.5,0.022953429677448314,0.0006308708945899238
313,-186.5,0.016451966267387406,0.0006291012130154717
314,-185.5,0.01301656069036144,0.0006273500935165125
315,-184.5,0.010878583144102871,0.0006256172989309287
316,-183.5,0.009411804129214751,0.0006239025962516765
317,-182.5,0.00833805122095421,0.0006222057565424923
318,-181.5,0.007514775186468915,0.0006205265548267222
319,-180.5,0.006861298626689981,0.0006188647699948404
320,-179.5,0.006328483161482902,0.0006172201847104093
321,-178.5,0.005884656080918894,0.0006155925853132319
322,-177.5,0.0055084606512646826,0.0006139817617301382
323,-176.5,0.005184956339975772,0.0006123875073855356
324,-175.5,0.0049033662280664695,0.0006108096191148838
325,-174.5,0.004655712870722886,0.0006092478970790188
326,-173.5,0.00443595871292851,0.000607702144682858
327,-172.5,0.004239445775791459,0.0006061721684896086
328,-171.5,0.004062519578174614,0.0006046577781480393
329,-170.5,0.003902270188845506,0.0006031587863039727
330,-169.5,0.0037563498747641834,0.0006016750085348221
331,-168.5,0.0036228421003143734,0.000600206263267037
332,-167.5,0.003500165723233959,0.0005987523717042543
333,-166.5,0.0033870037978486435,0.0005973131577542838
334,-165.5,0.0032822498922749563,0.0005958884479590087
335,-164.5,0.0031849670742727975,0.000594478071423617
336,-163.5,0.003094356196949088,0.0005930818597454773
337,-162.5,0.0030097311038036843,0.0005916996469500677
338,-161.5,0.002930499046055717,0.0005903312694209707
339,-160.5,0.002856145071224548,0.0005889765658351567
340,-159.5,0.002786219469452643,0.0005876353770939257
341,-158.5,0.0027203275972725034,0.0005863075462663885
342,-157.5,0.0026581215666709114,0.000584992918517533
343,-156.5,0.002599293410087899,0.0005836913410499074
344,-155.5,0.002543569422479257,0.0005824026630349562
345,-154.5,0.0024907054490590414,0.0005811267355606481
346,-153.5,0.0024404829381229794,0.0005798634115625044
347,-152.5,0.0023927056168552723,0.0005786125457603741
348,-151.5,0.0023471966775663665,0.000577373994606533
349,-150.5,0.0023037963845349584,0.0005761476162139027
350,-149.5,0.0022623600293755655,0.0005749332703044173
351,-148.5,0.002222756176645108,0.0005737308181421542
352,-147.5,0.0021848651524075053,0.0005725401224754023
353,-146.5,0.0021485777370488187,0.0005713610474764015
354,-145.5,0.0021137940306236854,0.0005701934586776632
355,-144.5,0.0020804224645211864,0.0005690372229139474
356,-143.5,0.0020483789377122776,0.000567892208257074
357,-142.5,0.0020175860595095505,0.000566758283957714
358,-141.5,0.0019879724836722817,0.0005656353203803416
359,-140.5,0.001959472321177706,0.000564523188940198
360,-139.5,0.0019320246209109137,0.0005634217620380789
361,-138.5,0.0019055729092255123,0.0005623309129998782
362,-137.5,0.001880064780659503,0.0005612505160058658
363,-136.5,0.0018554515332379403,0.0005601804460261696
364,-135.5,0.0018316878427656759,0.0005591205787495202
365,-134.5,0.00180873147126449,0.0005580707905195624
366,-133.5,0.0017865430054489746,0.0005570309582586842
367,-132.5,0.0017650856216306712,0.0005560009593954405
368,-131.5,0.0017443248739848212,0.0005549806717938771
369,-130.5,0.0017242285034698038,0.0005539699736714367
370,-129.5,0.001704766265097906,0.0005529687435262872
371,-128.5,0.0016859097714762641,0.0005519768600491526
372,-127.5,0.0016676323508860974,0.0005509942020475944
373,-126.5,0.0016499089183026152,0.0005500206483537224
374,-125.5,0.0016327158580035786,0.0005490560777348026
375,-124.5,0.001616030916563748,0.0005481003688057185
376,-123.5,0.0015998331051491094,0.0005471533999255662
377,-122.5,0.001584102610207634,0.0005462150491043445
378,-121.5,0.0015688207116838482,0.0005452851938949955
379,-120.5,0.0015539697080511723,0.0005443637112865181
380,-119.5,0.0015395328474887141,0.0005434504775887656
381,-118.5,0.001525494264614928,0.0005425453683155618
382,-117.5,0.001511838922276685,0.0005416482580600642
383,-116.5,0.0014985525578977011,0.0005407590203664121
384,-115.5,0.001485621634000353,0.0005398775275921434
385,-114.5,0.0014730332924995221,0.0005390036507637191
386,-113.5,0.0014607753124534673,0.000538137259428527
387,-112.5,0.0014488360709609808,0.0005372782214931932
388,-111.5,0.0014372045069279047,0.0005364264030606351
389,-110.5,0.001425870087466786,0.0005355816682459843
390,-109.5,0.0014148227767059058,0.000534743878999264
391,-108.5,0.0014040530068019576,0.0005339128948975211
392,-107.5,0.0013935516509843897,0.000533088572944587
393,-106.5,0.001383309998456423,0.0005322707673421597
394,-105.5,0.0013733197310143734,0.0005314593292569056
395,-104.5,0.0013635729012389157,0.0005306541065701866
396,-103.5,0.0013540619121422222,0.0005298549436086337
397,-102.5,0.0013447794981581564,0.0005290616808638229
398,-101.5,0.0013357187073668847,0.0005282741546872103
399,-100.5,0.0013268728848707379,0.0005274921969678824
400,-99.5,0.001318235657222983,0.0005267156347859166
401,-98.5,0.0013098009178404083,0.0005259442900430102
402,-97.5,0.0013015628133282995,0.0005251779790700992
403,-96.5,0.0012935157306437454,0.0005244165121995867
404,-95.5,0.0012856542850463739,0.0005236596933165567
405,-94.5,0.0012779733087738263,0.0005229073193680132
406,-93.5,0.0012704678403968816,0.0005221591798393084
407,-92.5,0.0012631331148040845,0.0005214150561904571
408,-91.5,0.0012559645537714027,0.0005206747212485591
409,-90.5,0.0012489577570797903,0.0005199379385542806
410,-89.5,0.0012421084941452154,0.0005192044616566161
411,-88.5,0.0012354126961182195,0.0005184740333496603
412,-87.5,0.0012288664484411736,0.0005177463848481499
413,-86.5,0.0012224659838044423,0.0005170212348959205
414,-85.5,0.0012162076755074388,0.0005162982887980877
415,-84.5,0.0012100880311726144,0.000515577237372095
416,-83.5,0.0012041036868069713,0.0005148577558090226
417,-82.5,0.001198251401180511,0.0005141395024363848
418,-81.5,0.0011925280505057775,0.0005134221173702813
419,-80.5,0.0011869306233986384,0.000512705221045314
420,-79.5,0.0011814562161001011,0.0005119884126156257
421,-78.5,0.0011761020279523013,0.0005112712682013705
422,-77.5,0.0011708653571034392,0.0005105533389806876
423,-76.5,0.001165743596433847,0.0005098341490878283
424,-75.5,0.0011607342296881648,0.0005091131933232967
425,-74.5,0.0011558348278020065,0.00050838993462898
426,-73.5,0.0011510430454132142,0.0005076638013136778
427,-72.5,0.0011463566175453175,0.0005069341840059973
428,-71.5,0.0011417733564522262,0.0005062004322831195
429,-70.5,0.0011372911486194103,0.0005054618509625696
430,-69.5,0.0011329079519108837,0.000504717695990202
431,-68.5,0.001128621792846648,0.0005039671698923452
432,-67.5,0.0011244307640252168,0.0005032094167328616
433,-66.5,0.0011203330216486287,0.0005024435164987318
434,-65.5,0.0011163267831797085,0.0005016684788687473
435,-64.5,0.0011124103251016297,0.000500883236246096
436,-63.5,0.0011085819807839712,0.0005000866359952133
437,-62.5,0.00110484013844651,0.0004992774317363897
438,-61.5,0.0011011832392172497,0.000498454273600006
439,-60.5,0.0010976097752777151,0.0004976156972637187
440,-59.5,0.0010941182880955232,0.0004967601116149804
441,-58.5,0.001090707366734148,0.0004958857848319801
442,-57.5,0.0010873756462364769,0.000494990828637749
443,-56.5,0.001084121806088192,0.0004940731804559718
444,-55.5,0.001080944568741898,0.0004931305831269916
445,-54.5,0.0010778426982093877,0.0004921605618080712
446,-53.5,0.0010748149987158532,0.0004911603975810907
447,-52.5,0.0010718603134162214,0.0004901270972311959
448,-51.5,0.001068977523161852,0.0004890573585235576
449,-50.5,0.001066165545324574,0.00048794753020411924
450,-49.5,0.0010634233326718254,0.0004867935657692268
451,-48.5,0.0010607498722880835,0.00048559096985177543
452,-47.5,0.0010581441845490156,0.00048433473585282155
453,-46.5,0.0010556053221312013,0.0004830192730860842
454,-45.5,0.0010531323690716262,0.000481638321401422
455,-44.5,0.0010507244398608752,0.0004801848506680371
456,-43.5,0.0010483806785860287,0.0004786509420048274
457,-42.5,0.0010461002580964402,0.00047702764674323756
458,-41.5,0.0010438823792175754,0.00047530481822160843
459,-40.5,0.0010417262699912403,0.00047347091012585357
460,-39.5,0.001039631184950521,0.000471512733458617
461,-38.5,0.0010375964044283376,0.0004694151620063362
462,-37.5,0.001035621233884849,0.0004671607732153339
463,-36.5,0.0010337050032932977,0.0004647294075261891
464,-35.5,0.0010318470665047089,0.00046209762391395426
465,-34.5,0.0010300468006895847,0.0004592380222423918
466,-33.5,0.001028303605770844,0.00045611839315843657
467,-32.5,0.0010266169038970078,0.000452700642492541
468,-31.5,0.0010249861389325919,0.000448939417785422
469,-30.5,0.0010234107759747708,0.0004447803367806559
470,-29.5,0.0010218903008893168,0.00044015767753736225
471,-28.5,0.001020424219871006,0.00043499133040857737
472,-27.5,0.0010190120590206026,0.00042918272311576796
473,-26.5,0.0010176533639421389,0.00042260929369129167
474,-25.5,0.0010163476993637502,0.000415116872941319
475,-24.5,0.001015094648767519,0.00040650899664644515
476,-23.5,0.0010138938140492018,0.0003965316066354187
477,-22.5,0.0010127448151850476,0.00038485064961012985
478,-21.5,0.00101164728991922,0.000371018418854818
479,-20.5,0.0010106008934720552,0.00035442145702561023
480,-19.5,0.0010096052982501817,0.0003341970836836965
