,Tempo,m,Frequencia,Mf
0,-20.0,0,-2.5,0j
1,-19.798994974874372,0,-2.4748743718592965,(0.0011108120966754995-0.07071067811865477j)
2,-19.597989949748744,0,-2.449748743718593,0j
3,-19.396984924623116,0,-2.4246231155778895,(-0.003334630930730521+0.07071067811865477j)
4,-19.195979899497488,0,-2.399497487437186,0j
5,-18.99497487437186,0,-2.3743718592964824,(0.005565051058664295-0.07071067811865475j)
6,-18.79396984924623,0,-2.349246231155779,0j
7,-18.592964824120603,0,-2.3241206030150754,(-0.007806531541852961+0.0707106781186548j)
8,-18.391959798994975,0,-2.298994974874372,0j
9,-18.190954773869347,0,-2.2738693467336684,(0.01006361977353158-0.07071067811865475j)
10,-17.98994974874372,0,-2.248743718592965,0j
11,-17.78894472361809,0,-2.2236180904522613,(-0.012340988909871729+0.07071067811865477j)
12,-17.587939698492463,0,-2.198492462311558,0j
13,-17.386934673366834,0,-2.1733668341708543,(0.014643477473121993-0.07071067811865475j)
14,-17.185929648241206,0,-2.148241206030151,0j
15,-16.984924623115578,0,-2.1231155778894473,(-0.01697613185644009+0.07071067811865474j)
16,-16.78391959798995,0,-2.0979899497487438,0j
17,-16.582914572864322,0,-2.0728643216080402,(0.019344252548616585-0.07071067811865482j)
18,-16.381909547738694,0,-2.0477386934673367,0j
19,-16.180904522613066,0,-2.022613065326633,(-0.021753445013189685+0.07071067811865474j)
20,-15.979899497487438,0,-1.9974874371859297,0j
21,-15.77889447236181,0,-1.9723618090452262,(0.02420967630618437-0.07071067811865475j)
22,-15.577889447236181,0,-1.9472361809045227,0j
23,-15.376884422110553,0,-1.9221105527638191,(-0.026719338707355114+0.07071067811865468j)
24,-15.175879396984925,0,-1.8969849246231156,0j
25,-14.974874371859297,0,-1.8718592964824121,(0.029289321881345132-0.07071067811865475j)
26,-14.773869346733669,0,-1.8467336683417086,0j
27,-14.57286432160804,0,-1.821608040201005,(-0.03192709539069347+0.07071067811865474j)
28,-14.371859296482413,0,-1.7964824120603016,0j
29,-14.170854271356784,0,-1.771356783919598,(0.034640803769440356-0.07071067811865477j)
30,-13.969849246231156,0,-1.7462311557788945,0j
31,-13.768844221105528,0,-1.721105527638191,(-0.03743937685716584+0.07071067811865475j)
32,-13.5678391959799,0,-1.6959798994974875,0j
33,-13.366834170854272,0,-1.670854271356784,(0.0403326587192505-0.07071067811865477j)
34,-13.165829145728644,0,-1.6457286432160805,0j
35,-12.964824120603016,0,-1.620603015075377,(-0.04333155928102066+0.07071067811865471j)
36,-12.763819095477388,0,-1.5954773869346734,0j
37,-12.56281407035176,0,-1.57035175879397,(0.04644823383669298-0.07071067811865474j)
38,-12.361809045226131,0,-1.5452261306532664,0j
39,-12.160804020100503,0,-1.520100502512563,(-0.049696296934178555+0.07071067811865477j)
40,-11.959798994974873,0,-1.4949748743718592,0j
41,-11.758793969849245,0,-1.4698492462311556,(0.05309107888760889-0.07071067811865474j)
42,-11.557788944723617,0,-1.4447236180904521,0j
43,-11.356783919597989,0,-1.4195979899497486,(-0.05664993547469541+0.07071067811865472j)
44,-11.15577889447236,0,-1.394472361809045,0j
45,-10.954773869346733,0,-1.3693467336683416,(0.06039262443716724-0.07071067811865475j)
46,-10.753768844221105,0,-1.344221105527638,0j
47,-10.552763819095476,0,-1.3190954773869346,(-0.06434176650454722+0.07071067811865477j)
48,-10.351758793969848,0,-1.293969849246231,0j
49,-10.15075376884422,0,-1.2688442211055275,(0.06852341421246645-0.07071067811865478j)
50,-9.949748743718592,1,-1.243718592964824,0j
51,-9.748743718592964,1,-1.2185929648241205,(-0.07296775937779158+0.07071067811865483j)
52,-9.547738693467336,1,-1.193467336683417,0j
53,-9.346733668341708,1,-1.1683417085427135,(0.07771002059209284-0.07071067811865468j)
54,-9.14572864321608,1,-1.14321608040201,0j
55,-8.944723618090451,1,-1.1180904522613064,(-0.08279156679475046+0.07071067811865482j)
56,-8.743718592964823,1,-1.092964824120603,0j
57,-8.542713567839195,1,-1.0678391959798994,(0.08826135384096605-0.07071067811865478j)
58,-8.341708542713567,1,-1.0427135678391959,0j
59,-8.140703517587939,1,-1.0175879396984924,(-0.09417778098999921+0.07071067811865474j)
60,-7.939698492462311,1,-0.9924623115577889,0j
61,-7.738693467336683,1,-0.9673366834170853,(0.10061111810045655-0.07071067811865475j)
62,-7.537688442211055,1,-0.9422110552763818,0j
63,-7.3366834170854265,1,-0.9170854271356783,(-0.10764671951961571+0.07071067811865478j)
64,-7.135678391959798,1,-0.8919597989949748,0j
65,-6.93467336683417,1,-0.8668341708542713,(0.11538933938594756-0.07071067811865475j)
66,-6.733668341708542,1,-0.8417085427135678,0j
67,-6.532663316582914,1,-0.8165829145728642,(-0.12396901565067257+0.07071067811865474j)
68,-6.331658291457286,1,-0.7914572864321607,0j
69,-6.130653266331658,1,-0.7663316582914572,(0.13354923131000226-0.07071067811865475j)
70,-5.92964824120603,1,-0.7412060301507537,0j
71,-5.7286432160804015,1,-0.7160804020100502,(-0.14433845222756994+0.07071067811865477j)
72,-5.527638190954773,1,-0.6909547738693467,0j
73,-5.326633165829145,1,-0.6658291457286432,(0.15660679240672348-0.07071067811865478j)
74,-5.125628140703517,1,-0.6407035175879396,0j
75,-4.924623115577889,1,-0.6155778894472361,(-0.17071067811865462+0.07071067811865468j)
76,-4.723618090452261,1,-0.5904522613065326,0j
77,-4.522613065326633,1,-0.5653266331658291,(0.187130379788315-0.0707106781186547j)
78,-4.321608040201005,1,-0.5402010050251256,0j
79,-4.1206030150753765,1,-0.5150753768844221,(-0.20652899017583218+0.07071067811865475j)
80,-3.9195979899497466,1,-0.4899497487437183,0j
81,-3.7185929648241185,1,-0.4648241206030148,(0.22984865141904792-0.07071067811865477j)
82,-3.5175879396984904,1,-0.4396984924623113,0j
83,-3.3165829145728623,1,-0.4145728643216078,(-0.2584747065017823+0.0707106781186548j)
84,-3.115577889447234,1,-0.38944723618090427,0j
85,-2.914572864321606,1,-0.36432160804020075,(0.29453117131057027-0.07071067811865468j)
86,-2.713567839195978,1,-0.33919597989949724,0j
87,-2.5125628140703498,1,-0.3140703517587937,(-0.34144894948467697+0.07071067811865475j)
88,-2.3115577889447216,1,-0.2889447236180902,0j
89,-2.1105527638190935,1,-0.2638190954773867,(0.40515391728457384-0.07071067811865474j)
90,-1.9095477386934654,1,-0.23869346733668317,0j
91,-1.7085427135678373,1,-0.21356783919597966,(-0.49683912076553116+0.07071067811865472j)
92,-1.5075376884422091,1,-0.18844221105527614,0j
93,-1.306532663316581,1,-0.16331658291457263,(0.640489309905889-0.07071067811865483j)
94,-1.105527638190953,1,-0.1381909547738691,0j
95,-0.9045226130653248,1,-0.1130653266331656,(-0.8984643532093762+0.07071067811865475j)
96,-0.7035175879396967,1,-0.08793969849246208,0j
97,-0.5025125628140685,1,-0.06281407035175857,(1.4994163083902385-0.07071067811865472j)
98,-0.3015075376884404,1,-0.03768844221105505,0j
99,-0.10050251256281229,1,-0.012562814070351536,(-4.501211334450332+0.0707106781186548j)
100,0.10050251256281584,1,0.01256281407035198,(7.0710678118654755+0j)
101,0.30150753768844396,1,0.037688442211055495,(-4.501211334450333-0.07071067811865475j)
