,Frequencia,Amplitude,Fase
0,-500.0,1.0,-3.141592653589793
1,-496.078431372549,1.0,3.0430328840654077
2,-492.15686274509807,1.0,2.9444731145410223
3,-488.2352941176471,1.0,2.845913345016637
4,-484.3137254901961,1.0,2.74735357549225
5,-480.3921568627451,1.0,2.648793805967866
6,-476.47058823529414,1.0,2.550234036443481
7,-472.54901960784315,1.0,2.4516742669190936
8,-468.62745098039215,1.0,2.3531144973947082
9,-464.70588235294116,1.0,2.254554727870321
10,-460.7843137254902,1.0,2.1559949583459375
11,-456.8627450980392,1.0,2.057435188821552
12,-452.94117647058823,1.0,1.958875419297165
13,-449.01960784313724,1.0,1.8603156497727795
14,-445.0980392156863,1.0,1.7617558802483941
15,-441.1764705882353,1.0,1.663196110724007
16,-437.2549019607843,1.0,1.5646363411996234
17,-433.33333333333337,1.0,1.466076571675238
18,-429.4117647058824,1.0,1.3675168021508526
19,-425.4901960784314,1.0,1.2689570326264654
20,-421.5686274509804,1.0,1.17039726310208
21,-417.6470588235294,1.0,1.0718374935776946
22,-413.72549019607845,1.0,0.9732777240533093
23,-409.80392156862746,1.0,0.8747179545289239
24,-405.88235294117646,1.0,0.7761581850045367
25,-401.9607843137255,1.0,0.6775984154801513
26,-398.03921568627453,1.0,0.5790386459557659
27,-394.11764705882354,1.0,0.48047887643138054
28,-390.19607843137254,1.0,0.38191910690699515
29,-386.27450980392155,1.0,0.283359337382608
30,-382.3529411764706,1.0,0.1847995678582226
31,-378.4313725490196,1.0,0.08623979833383721
32,-374.5098039215686,1.0,-0.012319971190548173
33,-370.5882352941177,1.0,-0.11087974071493178
34,-366.6666666666667,1.0,-0.20943951023931895
35,-362.7450980392157,1.0,-0.30799927976370434
36,-358.82352941176475,1.0,-0.4065590492880897
37,-354.9019607843137,1.0,-0.5051188188124787
38,-350.98039215686276,1.0,-0.6036785883368605
39,-347.05882352941177,1.0,-0.7022383578612477
40,-343.1372549019608,1.0,-0.800798127385633
41,-339.21568627450984,1.0,-0.8993578969100184
42,-335.29411764705884,1.0,-0.9979176664344056
43,-331.37254901960785,1.0,-1.0964774359587892
44,-327.4509803921569,1.0,-1.1950372054831746
45,-323.52941176470586,1.0,-1.2935969750075635
46,-319.6078431372549,1.0,-1.3921567445319472
47,-315.6862745098039,1.0,-1.4907165140563325
48,-311.7647058823529,1.0,-1.5892762835807188
49,-307.843137254902,1.0,-1.6878360531051042
50,-303.921568627451,1.0,-1.7863958226294896
51,-300.0,1.0,-1.8849555921538759
52,-296.07843137254906,1.0,-1.9835153616782604
53,-292.156862745098,1.0,-2.0820751312026475
54,-288.2352941176471,1.0,-2.180634900727033
55,-284.3137254901961,1.0,-2.2791946702514183
56,-280.3921568627451,1.0,-2.3777544397758046
57,-276.47058823529414,1.0,-2.476314209300189
58,-272.54901960784315,1.0,-2.5748739788245745
59,-268.62745098039215,1.0,-2.6734337483489607
60,-264.7058823529412,1.0,-2.771993517873346
61,-260.78431372549016,1.0,-2.8705532873977333
62,-256.8627450980392,1.0,-2.969113056922118
63,-252.94117647058823,1.0,-3.067672826446504
64,-249.01960784313727,1.0,3.1169527112086977
65,-245.0980392156863,1.0,3.0183929416843114
66,-241.1764705882353,1.0,2.919833172159926
67,-237.2549019607843,1.0,2.8212734026355397
68,-233.33333333333337,1.0,2.722713633111155
69,-229.41176470588238,1.0,2.62415386358677
70,-225.49019607843138,1.0,2.5255940940623827
71,-221.5686274509804,1.0,2.4270343245379964
72,-217.64705882352945,1.0,2.328474555013613
73,-213.72549019607845,1.0,2.2299147854892265
74,-209.80392156862746,1.0,2.1313550159648402
75,-205.88235294117646,1.0,2.032795246440455
76,-201.96078431372553,1.0,1.9342354769160695
77,-198.03921568627453,1.0,1.835675707391684
78,-194.11764705882354,1.0,1.7371159378672978
79,-190.19607843137254,1.0,1.6385561683429115
80,-186.2745098039216,1.0,1.539996398818527
81,-182.3529411764706,1.0,1.4414366292941407
